,MaxEStateIndex,MolWt,FpDensityMorgan1,BCUT2D_LOGPLOW,BalabanJ,HallKierAlpha,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA2,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA10,SMR_VSA4,SMR_VSA5,SlogP_VSA3,SlogP_VSA4,SlogP_VSA6,EState_VSA4,EState_VSA6,EState_VSA7,EState_VSA8,VSA_EState2,VSA_EState9,NHOHCount,NumAliphaticHeterocycles,fr_ArN,fr_Ndealkylation1,fr_bicyclic,fr_unbrch_alkane
2562,5.758348686696902,320.4620000000001,1.3181818181818181,-2.449992348592077,2.211147340860399,-1.56,16.720787709916085,5.749511833283905,0.0,0.0,13.847474399381248,25.831747514004253,25.676110046885686,24.525371161159708,34.13636132979826,0.0,39.654695674071846,0.0,0.0,6.06636706846161,49.258825732106175,7.109797541277533,0.0,45.38447809206734,4.9252314814814815,1.736826105442177,0,1,0,0,2,0
2563,6.023410808767951,321.4460000000001,1.4090909090909092,-2.3148004392728168,2.141099680950124,-1.56,29.431636062177308,11.49902366656781,0.0,0.0,20.771211599071872,19.262464868778025,19.15587988028676,11.728187345198613,28.4489750551147,5.917906046161393,40.21973680943681,0.0,5.917906046161393,6.06636706846161,47.730145811235055,0.0,12.990104268152233,34.41820129275525,2.367638888888889,0.0,0,1,0,0,2,0
2564,4.569533257747543,304.4630000000001,1.1904761904761905,-2.428987490159071,2.2606383049239573,-1.36,11.033401435232523,0.0,0.0,0.0,13.847474399381248,32.25256913693026,31.7424771153473,23.102959894565736,34.13636132979826,5.917906046161393,40.15761125083647,6.4208216229260096,5.917906046161393,6.06636706846161,30.543735869983685,0.0,0.0,59.35588727443515,4.891527777777778,2.2003543083900228,0,1,0,1,2,0
2565,5.736340230536659,321.4500000000001,1.2727272727272727,-2.4326131044993873,2.1097043786632614,-1.5999999999999999,16.720787709916088,5.749511833283905,0.0,0.0,0.0,27.085448233506614,32.72378202956288,24.525371161159708,34.13636132979826,0.0,6.923737199690624,0.0,0.0,6.06636706846161,55.19408157276286,7.109797541277533,0.0,50.53225738889095,7.017048243680188,5.935898473586965,0,1,0,2,2,0
2566,5.844135015117159,320.46200000000005,1.3181818181818181,-2.460005070705578,2.177267171290201,-1.4000000000000001,11.033401435232523,0.0,6.3518359537214355,0.0,20.771211599071872,25.328831937239634,25.76276184479968,23.102959894565736,34.13636132979826,5.917906046161393,40.46760637540994,4.736862953800049,12.841643245852017,6.06636706846161,30.54373586998368,7.109797541277533,0.0,52.30821529175796,4.729444444444445,1.7918204627530026,0,1,0,0,2,0
2567,11.683491039934493,319.43400000000014,1.1363636363636365,-2.697686008766991,2.4897019206188213,-1.8900000000000001,17.101832336657438,5.516700717616262,0.0,0.0,13.847474399381248,5.917906046161393,39.67204546856715,17.415573619882174,45.72149294883943,0.0,26.689117645233264,0.0,0.0,0.0,41.185073071108356,0.0,0.0,51.482122521905154,7.434432161753589,4.160493669690098,1,1,0,2,2,0
2568,6.095542800453515,307.41900000000004,1.380952380952381,-2.2931445088921127,1.975923257618413,-1.4000000000000001,23.744249787493743,11.49902366656781,0.0,0.0,13.344558822616634,26.9369872112064,18.17457496607118,11.728187345198613,22.761588780431133,0.0,32.29016845621696,6.4208216229260096,0.0,6.06636706846161,53.90309786818792,0.0,6.06636706846161,34.66607085872838,2.1613041698160744,4.139918584335071,0,1,0,1,2,0
2569,11.96261794532628,307.37500000000006,1.4761904761904763,-2.7026507608196586,2.1448262266361127,-1.8900000000000001,24.125294414235093,11.266212550900168,5.749511833283905,0.0,13.847474399381248,12.841643245852019,12.487188691387619,11.728187345198613,34.34672039947231,0.0,39.21390565590758,0.0,0.0,6.06636706846161,24.569830591050632,0.0,19.913841467842857,13.739484695468569,2.9049726001511718,0.0,1,1,0,0,2,0
2570,5.662278911564625,235.31199999999995,1.4375,-2.181492975289624,2.2371587172363046,-1.36,29.07718150771291,0.0,0.0,0.0,13.344558822616634,18.050640183084614,6.544756405912575,11.728187345198613,28.4489750551147,0.0,19.765380445542643,6.4208216229260096,0.0,6.06636706846161,48.46358115947749,0.0,0.0,27.053972834991463,0.0,0.0,1,1,0,0,3,0
2571,4.584656557067271,304.4630000000001,1.0952380952380953,-2.4116520962221033,2.208554982699452,-1.36,11.033401435232523,0.0,0.0,0.0,13.344558822616634,32.75548471369488,31.7424771153473,23.102959894565736,34.13636132979826,0.0,40.0336764678499,6.4208216229260096,0.0,6.06636706846161,43.63324868180883,0.0,0.0,45.38447809206734,5.00099111866969,0.0,0,1,0,2,2,0
2572,5.704888983371126,306.43500000000006,1.2380952380952381,-2.274179376081019,2.34958279261285,-1.56,16.720787709916088,5.749511833283905,0.0,0.0,13.847474399381248,19.262464868778025,19.15587988028676,31.19406235005885,34.13636132979826,5.917906046161393,27.19203322199788,6.4208216229260096,5.917906046161393,0.0,36.41718248625415,7.109797541277533,0.0,46.36578300628291,4.647453703703704,3.8671324640967497,0,1,0,0,2,0
2573,6.054454837490551,294.37600000000003,1.25,-2.2879163867826544,2.2428730232458642,-1.56,18.227549069877483,17.01572438418407,5.749511833283905,0.0,20.268296022307258,12.841643245852019,5.563451491696996,18.837984886476146,22.761588780431133,0.0,39.21390565590758,6.4208216229260096,0.0,0.0,41.608829628991444,7.109797541277533,0.0,22.594554362214147,0.0,1.6317580782312926,0,1,0,0,2,0
2574,4.492872260015117,262.38199999999995,1.1666666666666667,-2.372007536394199,2.3832646441021526,-1.36,11.033401435232523,0.0,0.0,0.0,13.847474399381248,11.984273114623004,32.74830826887653,23.102959894565736,34.13636132979826,0.0,19.76538044554264,0.0,0.0,6.06636706846161,24.122914247057675,0.0,0.0,52.55608485773109,4.670092592592592,4.324319727891156,0,1,0,2,2,0
2575,5.992202617157974,291.3760000000001,1.2,-2.3494132835517707,2.046008390077218,-1.56,18.227549069877483,17.01572438418407,0.0,0.0,0.0,26.689117645233267,18.652964303522147,17.415573619882174,28.4489750551147,0.0,38.834924862129526,6.4208216229260096,0.0,0.0,35.374068347652354,0.0,6.923737199690624,27.61839887605119,2.2958739606953893,2.1251473922902493,0,2,0,0,6,0
