,ERed
532,1.57
533,1.16
534,1.39
535,1.46
536,1.74
537,1.72
538,1.43
539,1.05
540,1.5
541,1.49
542,1.17
543,0.97
544,1.49
545,1.43
546,1.15
547,1.27
548,1.58
549,1.52
550,1.54
551,1.5
552,1.47
553,1.56
554,1.45
555,1.48
556,1.08
557,1.62
558,1.4
559,1.49
560,1.19
561,1.58
562,1.37
563,1.33
564,1.21
565,1.09
566,1.11
567,1.7
568,1.63
569,1.43
570,1.46
571,1.42
572,1.31
573,1.09
574,1.54
575,1.11
576,1.51
577,1.36
578,1.39
579,1.27
580,1.35
581,1.12
582,1.33
583,1.6
584,1.82
585,1.1
586,1.26
587,1.53
588,1.42
589,1.51
590,1.26
591,1.48
592,1.49
593,1.09
594,1.24
595,1.2
596,1.41
597,1.48
598,1.24
599,1.24
600,1.48
601,1.74
602,1.44
603,1.34
604,1.44
605,1.23
606,1.05
607,1.44
608,1.32
609,1.28
610,1.46
611,1.45
612,1.37
613,1.4
614,1.41
615,1.3
616,1.16
617,1.44
618,1.37
619,1.33
620,1.15
621,1.51
622,1.16
623,1.51
624,1.15
625,1.55
626,1.39
627,1.4
628,1.16
629,1.43
630,1.52
631,1.11
632,1.26
633,1.54
634,1.35
635,1.38
636,1.58
637,1.38
638,1.51
639,1.1
640,1.36
641,1.24
642,1.46
643,1.44
644,1.44
645,1.22
646,1.33
647,1.5
648,1.43
649,1.37
650,1.57
651,1.47
652,1.48
653,1.42
654,1.49
655,1.58
656,1.49
657,1.11
658,1.12
659,1.17
660,1.61
661,1.45
662,1.45
663,1.09
664,1.45
665,1.61
666,1.47
667,1.06
668,1.48
669,1.42
670,1.23
671,1.29
672,1.44
673,1.56
674,1.43
675,1.32
676,1.29
677,1.39
678,1.37
679,1.35
680,1.23
681,1.2
682,1.17
683,1.14
684,1.04
685,1.19
686,1.45
687,1.09
688,1.11
689,1.64
690,1.47
691,1.27
692,1.46
693,1.22
694,1.25
695,1.02
696,1.36
697,1.72
698,1.02
699,1.48
700,1.15
701,1.51
702,1.18
703,1.4
704,1.63
705,1.24
706,1.23
707,1.53
