,SMILES,ERed
83,CNc1c2c(c(C)c3nsnc13)OC(C)C2,1.27
84,CCN1CN(CC(C)C)c2cc3nsnc3c(C)c21,1.04
85,CCN1c2cc3nsnc3cc2N(C)C1OC(C)C,1.14
86,CCC(C)Nc1c(N)c(N)c(OC(C)C)c2nsnc12,1.27
87,CCOCCc1c2c(cc3nsnc13)OC(C)C(C)O2,1.54
88,CCN1CCN(CCN(C)C)c2cc3nsnc3cc21,1.19
89,Cc1c2c(c(CC(C)C)c3nsnc13)N(C)CCN2C(C)C,1.32
90,CCc1c2c(c(C)c3nsnc13)N(CC)CCN2C(C)CC,1.24
91,CC(C)CC1Oc2cc3nsnc3cc2OC1CC(C)C,1.32
92,CC1COc2c(c(CCN(C)C)c3nsnc3c2C(C)C)O1,1.39
93,CCCN1CN(C(C)C)c2c1cc1nsnc1c2CC,1.08
94,CCC(C)N1CCN(C)c2cc3nsnc3c(/[NH+]=C(\C)[O-])c21,1.31
95,CCC(C)N1CN(C)c2c1cc1nsnc1c2C,1.04
96,CCC(C)N(c1c2c(cc3nsnc13)OCC(C)O2)C(C)C,1.49
97,CCC1Oc2c(c(C)c3nsnc3c2N(C)C)OC1C(C)C,1.41
98,CCCN1CN(CC)c2cc3nsnc3c(C(C)CC)c21,1.09
99,CCC(C)Oc1c2c(cc3nsnc13)N(C)CCN2C,1.32
100,CCN1CN(CC)c2cc3nsnc3cc21,1.12
101,CC/C([O-])=[NH+]\c1c2c(c(OC)c3nsnc13)C1CCC2CC1,1.67
102,CCCN(C)c1c2c(cc3nsnc13)C1CCC2CC1,1.49
103,CCC(C)N1CN(CC)c2cc3nsnc3c(OC)c21,1.27
104,CCOc1c2c(c(C)c3nsnc13)N(CC(C)C)CCN2C,1.19
105,CCCCN1CN(CCCC)c2cc3nsnc3cc21,1.13
106,CCCN1CCN(C(C)C)c2cc3nsnc3c(C(C)C)c21,1.29
107,CNc1cc2nsnc2cc1NC(C)C,1.2
108,CC(C)COc1c2c(c(C(C)C)c3nsnc13)C1CCC2CC1,1.43
109,CC(C)c1c2c(cc3nsnc13)N(C(C)C)CCN2C(C)C,1.21
110,CCCC(=O)Oc1c2c(c(C)c3nsnc13)OC(C)CO2,1.6
111,CCCCc1c(NC)c(NC)c(OC(C)C)c2nsnc12,1.39
112,Cc1c2c(cc3nsnc13)N(C)CCN2CCN(C)C,1.27
113,CCCCc1c2c(cc3nsnc13)N(C(C)C)CN2C,1.07
114,CCOc1c2c(cc3nsnc13)N(CC(C)C)CCN2CC,1.23
115,CCC(C)N1CCN(C)c2c1c(OC)c1nsnc1c2C,1.29
116,CCN1c2cc3nsnc3c(C)c2N(CC)C1OC,1.16
117,CNc1c2c(c(C)c3nsnc13)OCCC2,1.38
118,CCc1cc(C)c2nsnc2c1N(C)CC,1.52
119,CCOc1c2c(cc3nsnc13)N(CC(C)C)CCN2C,1.2
120,CCCN1CCN(C)c2c1c(CC)c1nsnc1c2C,1.42
121,CCCOc1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.16
122,CCCCOC1N(CC)c2cc3nsnc3cc2N1C(C)C,1.12
123,CCCOc1c2c(c(OC)c3nsnc13)C1CCC2CC1,1.54
124,COC1N(C)c2c(cc3nsnc3c2C)N1C(C)C,1.21
125,CCOCCC1COc2c(cc3nsnc3c2OC)O1,1.57
126,CCc1c2c(cc3nsnc13)N(CC)CN2C(C)C,1.08
127,CCCOCCc1c2c(cc3nsnc13)N(C)CCN2C,1.28
128,CC/C([O-])=[NH+]\c1c2c(c(CC)c3nsnc13)N(C)CN2C,1.27
129,CCCOc1c2c(cc3nsnc13)N(CC)CCN2C,1.34
130,CCC1COc2c(c(C)c3nsnc3c2N(C)CC)O1,1.39
131,CCC(C)N1CN(CC)c2c1cc1nsnc1c2C,1.13
132,CCc1cc2c(c3nsnc13)OCC(CC)O2,1.56
133,CCCc1c2c(cc3nsnc13)OC(C(C)C)C(C)O2,1.32
134,CCC(C)N1c2cc3nsnc3cc2N(CC)C1OC,1.15
135,CCOC1N(C)c2cc3nsnc3cc2N1CCOC,1.13
136,CCCCNc1cc2nsnc2c(CC)c1N,1.21
137,CCC(C)C(=O)Oc1c2c(cc3nsnc13)N(C)CN2C,1.28
138,CCCCC(=O)Oc1c2c(c(C)c3nsnc13)OCCO2,1.63
139,CCOc1c2c(c(CC)c3nsnc13)N(CC)CN2C,1.13
140,CCC1Oc2cc3nsnc3c(CCOC)c2OC1CC,1.67
141,CCOCCc1c2c(cc3nsnc13)OC(CC)C(C)O2,1.59
142,CCCNc1c2c(c(OCCC)c3nsnc13)C1CCC2CC1,1.46
143,COc1c2c(c(C)c3nsnc13)OC(C)C(CC(C)C)O2,1.72
144,CC(C)COc1cc2nsnc2c2c1CCO2,1.46
145,CCCCOc1c2c(cc3nsnc13)N(C)CN2CC,1.15
146,Cc1c2c(c(C(C)C)c3nsnc13)N(C)CCN2CC(C)C,1.21
147,CC(C)c1c2c(cc3nsnc13)OC(C)C(C)O2,1.41
148,CCCNc1c(NC)c(NC(C)C)c(C)c2nsnc12,1.44
149,COCCN1CN(C)c2cc3nsnc3c(C(C)C)c21,1.2
150,CCCOc1c2c(cc3nsnc13)N(CC)C(OC)N2C,1.24
151,CCC(C)N(CC)c1c2c(cc3nsnc13)N(C)CN2C,1.09
152,CCCON(C)c1c(N(C)OC)c(C)c2nsnc2c1C,1.62
153,CCCc1c2c(cc3nsnc13)N(C(C)C)CN2CCOC,1.03
154,CCCN1CCN(C)c2c1cc1nsnc1c2CC,1.21
155,CCCN1CN(CC)c2c1cc1nsnc1c2/[N+](C)=C(\C)[O-],1.16
156,CCc1c2c(c(C(C)C)c3nsnc13)OC(C(C)C)CO2,1.36
157,CCOc1c2c(c(C)c3nsnc13)OCCO2,1.5
158,CCCc1c2c(c(CC)c3nsnc13)N(C)CCN2C,1.41
159,CCCNc1cc(CC)cc2nsnc12,1.41
160,CCCc1cc2nsnc2c(OC)c1CCOC,1.64
161,CCCc1c2c(c(OC(C)C)c3nsnc13)C1CCC2CC1,1.44
162,CN(C)c1cc2nsnc2cc1N(C)C,1.39
163,CCON(CC)c1c(N(C)CC)c(CC)c2nsnc2c1C,1.54
164,CCCCC1Oc2c(cc3nsnc3c2OC)OC1CC,1.69
165,CCN1c2c(ccc3nsnc23)CCC1C,1.52
166,CCc1c(N(C)CC)c(N(C)C(C)C)c(C)c2nsnc12,1.5
167,CCC(C)N(C)c1c(N(C)C)c(C)c2nsnc2c1OC,1.59
168,CCCN1CCN(C)c2c1c(NC)c1nsnc1c2C,1.38
169,CCN1CN(C)c2c1cc1nsnc1c2/[N+](=C(\C)[O-])C(C)C,1.22
170,CCCN1c2cc3nsnc3cc2N(CCOC)C1OC,1.13
171,CN1CCN(C)c2cc3nsnc3cc21,1.17
172,CCCC1Oc2cc3nsnc3c(N(CC)CC)c2OC1C,1.42
173,CCCCN1CCN(C(C)C)c2cc3nsnc3c(C)c21,1.23
174,CCNc1cc(OCC)cc2nsnc12,1.43
175,CCCC1Oc2c(cc3nsnc3c2CC)OC1C(C)CC,1.76
176,Cc1c2c(c(CC(C)C)c3nsnc13)OCC(C)O2,1.4
177,CNc1cc(CC(C)C)cc2nsnc12,1.44
178,CCN(CC)c1c2c(c(C)c3nsnc13)OCCO2,1.38
179,CN1CCOc2c3c(c4nsnc4c21)CCO3,1.38
