SMILES,ERed,MolWT,NValE,MolLogP
CC(C)Nc1c2c(cc3nsnc13)N(C)CCN2C,1.24,277.14,102,2.4
CNc1c2c(cc3nsnc13)N(C)CCN2CC(C)C,1.35,291.15,108,2.65
CCCCN1CCN(CC)c2cc3nsnc3c(CC)c21,1.31,304.17,114,3.7
CCCN1CCN(C(C)C)c2cc3nsnc3cc21,1.18,276.14,102,3.14
CCCN1CCN(CC)c2c1cc1nsnc1c2NC,1.12,291.15,108,2.79
CCOC1N(C)c2cc3nsnc3cc2N1C(C)C,1.11,278.12,102,2.68
CCOC1N(C)c2cc3nsnc3cc2N1C(C)CC,1.11,292.14,108,3.07
CCCCN1CCN(C(C)C)c2cc3nsnc3cc21,1.13,290.16,108,3.53
CCC(C)N1CCN(C)c2cc3nsnc3c(C)c21,1.22,276.14,102,3.05
CCCCN1CCN(C)c2cc3nsnc3c(C)c21,1.13,276.14,102,3.06
CCCN1c2cc3nsnc3cc2N(C)C1OC(C)C,1.12,292.14,108,3.07
CCN1c2cc3nsnc3cc2N(CC)C1OC,0.89,264.1,96,2.29
CCN1CCN(C)c2c1cc1nsnc1c2NC,1.23,263.12,96,2.01
CCCc1c2c(cc3nsnc13)N(C)CCN2C(C)CC,1.19,304.17,114,3.7
CCCCN1CCN(C)c2cc3nsnc3c(CC)c21,1.38,290.16,108,3.31
Cc1c2c(cc3nsnc13)N(C)CCN2C(C)C,1.15,262.13,96,2.66
CCN1CCc2c1cc1nsnc1c2C,1.26,219.08,78,2.38
CNc1c2c(cc3nsnc13)N(CC(C)C)CCN2C,1.21,291.15,108,2.65
CCNc1c2c(cc3nsnc13)N(C)CCN2CCOC,1.22,307.15,114,2.03
CCN1CCN(CC)c2c1c(C)c1nsnc1c2NC,1.29,291.15,108,2.71
CCC(C)Nc1c2c(cc3nsnc13)N(C)CCN2C,1.19,291.15,108,2.79
CCN1CC(C)c2c1cc1nsnc1c2C,1.19,233.1,84,2.94
Cc1c2c(cc3nsnc13)N(C)C(C)CC2,1.27,233.1,84,2.77
CCCN1CCN(C)c2c1cc1nsnc1c2C,1.24,262.13,96,2.67
CCN1CCN(CC(C)C)c2cc3nsnc3c(C)c21,1.38,290.16,108,3.3
CCCCN1CCN(C)c2cc3nsnc3c(CCC)c21,0.92,304.17,114,3.7
CCc1c2c(cc3nsnc13)N(CC)CCO2,1.27,249.09,90,2.47
CCN1c2cc3nsnc3cc2N(CC(C)C)C1OC,0.96,292.14,108,2.92
CCC(C)Nc1c2c(cc3nsnc13)N(C)CCN2CC,1.37,305.17,114,3.18
CCCOC1N(C)c2cc3nsnc3cc2N1CCC,1.12,292.14,108,3.07
CCC(C)c1c2c(cc3nsnc13)N(CC)CCN2C,1.24,290.16,108,3.48
CCN1CCN(CC(C)C)c2c1cc1nsnc1c2C,1.19,290.16,108,3.3
CCCN1CCN(C(C)C)c2cc3nsnc3c(C)c21,1.19,290.16,108,3.44
CCOC1N(CC)c2cc3nsnc3cc2N1C(C)C,1.14,292.14,108,3.07
CCOC1N(C)c2cc3nsnc3c(C)c2N1CC,0.84,278.12,102,2.6
CNc1c2c(cc3nsnc13)N(C)C(C)C2,1.2,234.09,84,2.11
CCC(C)N1c2cc3nsnc3cc2CC1C,1.32,247.11,90,3.24
CCCN1CCN(CCC)c2c1cc1nsnc1c2C,1.25,290.16,108,3.45
CCCN1CCN(CC)c2c1c(C)c1nsnc1c2C,1.36,290.16,108,3.36
COCCN1CCN(C)c2cc3nsnc3c(C)c21,1.21,278.12,102,1.9
CNc1c2c(cc3nsnc13)N(C)CCN2C(C)C,1.21,277.14,102,2.4
COc1c2c(cc3nsnc13)N(CC(C)C)CCN2C,1.25,292.14,108,2.61
CCN1CCN(C)c2c1cc1nsnc1c2NCCOC,0.96,307.15,114,2.03
CCN1CCc2c1cc1nsnc1c2NC,1.29,234.09,84,2.12
Cc1c2c(cc3nsnc13)N(C(C)C)CCO2,1.29,249.09,90,2.61
CCNc1c2c(cc3nsnc13)N(C)CCO2,1.28,250.09,90,1.95
CCCN1CCN(CC)c2cc3nsnc3c(N(C)C)c21,1.21,305.17,114,2.81
CCN1CCOc2c1cc1nsnc1c2C,1.26,235.08,84,2.22
CCN1CCOc2c1cc1nsnc1c2NC,1.26,250.09,90,1.95
CCCN1c2cc3nsnc3cc2N(C)C1OC,1.12,264.1,96,2.29
CC(C)CN1c2cc3nsnc3cc2CC1C,1.28,247.11,90,3.1
CCN1CCN(C)c2cc3nsnc3c(NC)c21,1.23,263.12,96,2.01
COc1cc2nsnc2c2c1CCCN2C,1.35,235.08,84,2.08
CC(C)CN1CCc2cc3nsnc3cc21,1.27,233.1,84,2.71
CNc1c2c(cc3nsnc13)N(C)CC2C,1.19,234.09,84,2.29
CCC(C)N1CN(C(C)CC)c2cc3nsnc3cc21,1.06,290.16,108,3.87
Cc1c2c(cc3nsnc13)N(CC(C)C)CN2C(C)C,1.09,290.16,108,3.65
CCCNc1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.24,305.17,114,3.18
CCN1CCN(CCOC)c2cc3nsnc3c(NC)c21,1.21,307.15,114,2.03
CNc1c2c(cc3nsnc13)N(C)CC2,1.31,220.08,78,1.73
CCOc1cc2nsnc2c2c1C(C)CCN2,1.37,249.09,90,3.01
CCCOc1cc2nsnc2c2c1CCCN2,1.36,249.09,90,2.84
CCCCN1CCN(C)c2c1cc1nsnc1c2C,1.22,276.14,102,3.06
CCN1c2c(cc3nsnc3c2C)N(C)C1OC,1.14,264.1,96,2.21
CCC(C)N1CN(CC)c2c1cc1nsnc1c2C,1.13,276.14,102,3.4
CCNc1c2c(cc3nsnc13)N(C(C)CC)CN2C,1.03,291.15,108,3.14
CCN1c2cc3nsnc3c(C)c2N(C)C1OC,1.22,264.1,96,2.21
CCN1CN(CC)c2c1c(C)c1nsnc1c2C,1.01,262.13,96,2.93
CCN(C)c1cc2nsnc2c2c1OCCN2,1.54,250.09,90,1.95
CCOC1N(C)c2cc3nsnc3cc2N1CC(C)C,1.1,292.14,108,2.92
CCCN1CCN(CC(C)C)c2cc3nsnc3c(C)c21,1.25,304.17,114,3.69
CCCCN1CN(CCCC)c2cc3nsnc3cc21,1.13,290.16,108,3.88
COc1cc2nsnc2c2c1CCCN2,1.36,221.06,78,2.06
CCCN1CN(CC)c2c1c(C)c1nsnc1c2C,1.15,276.14,102,3.32
CCCN1CN(CC)c2c1cc1nsnc1c2C,1.1,262.13,96,3.01
CNc1c2c(cc3nsnc13)N(C)CCO2,1.27,236.07,84,1.56
COc1cc2nsnc2c2c1C(C)CCN2,1.38,235.08,84,2.62
COC1N(C)c2cc3nsnc3c(C)c2N1C(C)C,0.8,278.12,102,2.59
CCCN1CCN(C)c2c1cc1nsnc1c2N(C)CC,1.32,305.17,114,2.81
CC(C)Oc1cc(N(C)C)c2nsnc2c1,1.29,237.09,86,2.54
CCCN1CN(C)c2c1cc1nsnc1c2NCC,1.22,277.14,102,2.75
CCNc1c(C)c(OCC)cc2nsnc12,1.67,237.09,86,2.83
CCN1CN(CC)c2cc3nsnc3cc21,1.12,234.09,84,2.31
CCNc1c2c(cc3nsnc13)N(C)CCN2CC(C)C,1.35,305.17,114,3.04
CCCN1CN(C(C)C)c2cc3nsnc3c(NC)c21,1.08,291.15,108,3.14
CCN1CN(C(C)C)c2cc3nsnc3c(NC)c21,1.01,277.14,102,2.75
CCCN1CCN(CC)c2c1cc1nsnc1c2N(C)C,1.21,305.17,114,2.81
