SMILES,ERed,MolWT,NValE,MolLogP
Cc1ccc2nsnc2c1OCC(C)C,1.53,222.08,80,3.03
Cc1cc2c(c3nsnc13)CC(C)CO2,1.47,220.07,78,2.57
CCCCOCCc1c2c(cc3nsnc13)C1CCC2C1,1.42,302.15,112,4.42
C1Cc2c3c(c4nsnc4c2N1)OCCO3,1.47,235.04,82,1.43
CCCC1COc2cc(C)c3nsnc3c2O1,1.52,250.08,90,2.94
COc1cc2nsnc2c2c1CCOC2,1.52,222.05,78,1.77
CCCc1c2c(cc3nsnc13)N(CC(C)C)CN2C,1.02,290.16,108,3.51
COc1cc(N(C)C(C)C)c2nsnc2c1,1.44,237.09,86,2.54
COc1c(C)cc(NC(C)C)c2nsnc12,1.49,237.09,86,2.83
CC1Oc2cc3nsnc3cc2C1C,1.52,206.05,72,2.58
Cc1cc2nsnc2c2c1OCC2,1.52,192.04,66,1.93
CCCc1c2c(cc3nsnc13)OC(C)C2,1.44,234.08,84,2.97
CCC1Cc2cc3nsnc3cc2CCO1,1.62,234.08,84,2.59
CCN(C)c1c(OC)c(C)cc2nsnc12,1.47,237.09,86,2.46
CCCOc1c2c(cc3nsnc13)OCC2C,1.52,250.08,90,2.98
CCOCCc1c2c(cc3nsnc13)N(C)CCN2C,1.32,292.14,108,2.16
CCOc1cc(C(C)CC)c2nsnc2c1,1.55,236.1,86,3.6
CC(C)Cc1c2c(c(N(C)C)c3nsnc13)C1CCC2CC1,1.36,315.18,118,4.71
CCOc1ccc2nsnc2c1NC(C)C,1.49,237.09,86,2.91
CCN(C)c1cc(C(C)C)c2nsnc2c1,1.36,235.11,86,3.27
CCCCc1c2c(c(CC)c3nsnc13)N(C)CCN2C,1.32,304.17,114,3.48
CCCc1c2c(cc3nsnc13)N(CC)CN2C,1.08,262.13,96,2.88
CC(C)Cc1c(C(C)C)ccc2nsnc12,1.53,234.12,86,4.01
CCC(C)Nc1cc(C)c(C)c2nsnc12,1.41,235.11,86,3.52
COCCc1cccc2nsnc12,1.65,194.05,68,1.88
CCN1c2cc3nsnc3cc2CC1C,1.32,219.08,78,2.46
CCC(C)c1c2c(c(NC)c3nsnc13)C1CCC2CC1,1.36,301.16,112,5.0
CCc1c2c(cc3nsnc13)CCO2,1.45,206.05,72,2.19
Cc1cc2c(c3nsnc13)CCCCN2C,1.45,233.1,84,2.77
CCCc1cc2nsnc2cc1CCOC,1.57,236.1,86,2.83
CCOc1c2c(c(C)c3nsnc13)OCC(CC)O2,1.48,280.09,102,2.95
COc1c2c(c(CCN(C)C)c3nsnc13)C1CCC2CC1,1.49,317.16,118,3.56
CCCCN(c1c2c(cc3nsnc13)C1CCC2CC1)C(C)C,1.43,329.19,124,5.46
CCc1cc2c(c3nsnc13)OCCC2,1.5,220.07,78,2.58
CNc1cc2c(c3nsnc13)OC(C)C2,1.51,221.06,78,2.06
CCOc1cc(NC)c2nsnc2c1C,1.39,223.08,80,2.44
CCc1cc(OC(C)CC)c2nsnc2c1,1.58,236.1,86,3.43
CCCc1c2c(c(CCC)c3nsnc13)C1CCC2C1,1.35,286.15,106,4.96
COc1c2c(cc3nsnc13)CCN2C,1.4,221.06,78,1.69
CCCCOc1cc2nsnc2cc1OCC,1.53,252.09,92,3.27
CCc1c2c(c(N(C)CCOC)c3nsnc13)C1CCC2C1,1.37,317.16,118,3.7
CCCCN1CCN(C)c2c1c(C)c1nsnc1c2CC,1.26,304.17,114,3.62
CC(C)OCCc1c2c(cc3nsnc13)OCCO2,1.49,280.09,102,2.43
CC(C)N1CCCc2cc3nsnc3cc21,1.38,233.1,84,2.85
COc1c2c(c(OC)c3nsnc13)OCCO2,1.59,254.04,90,1.48
CCNc1c2c(cc3nsnc13)C(CC)CO2,1.43,249.09,90,3.01
CCCN(CC)c1ccc2nsnc2c1,1.66,221.1,80,2.93
CN(C)c1cc2c(c3nsnc13)OCC2,1.54,221.06,78,1.69
CCNc1c2c(c(C)c3nsnc13)N(C)CCN2C,1.35,277.14,102,2.32
CCc1c2c(cc3nsnc13)N(C)CCN2CC,1.28,262.13,96,2.53
CNc1cc(N(C)C)c(C)c2nsnc12,1.39,222.09,80,2.11
CCCOc1c2c(c(C)c3nsnc13)C1CCC2CC1,1.54,288.13,106,4.54
CCCc1cc(C)c(CCC)c2nsnc12,1.48,234.12,86,3.9
Cc1c2c(c(CC(C)C)c3nsnc13)C1CCC2CC1,1.39,286.15,106,4.95
CCOc1c(OC)c(C)c(C)c2nsnc12,1.57,238.08,86,2.72
CNc1c(C)c(OC)c(C)c2nsnc12,1.45,223.08,80,2.36
CNc1c2c(c(C(C)C)c3nsnc13)OCCO2,1.35,265.09,96,2.63
CCCc1c(C)cc(OC)c2nsnc12,1.5,222.08,80,2.96
COc1cc2nsnc2c(OC(C)C)c1C,1.47,238.08,86,2.8
CN(C)c1cc2c(c3nsnc13)CCC2,1.46,219.08,78,2.25
CCc1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.3,276.14,102,2.92
Cc1cc2c(c3nsnc13)CCCO2,1.47,206.05,72,2.32
CCC(C)Oc1cccc2nsnc12,1.69,208.07,74,2.87
CCOc1c2c(c(OCC(C)C)c3nsnc13)C1CCC2CC1,1.52,332.16,124,4.88
CCC1COc2cc(OC)c3nsnc3c21,1.5,236.06,84,2.59
CCOc1c2c(c(CC)c3nsnc13)OC(C)CO2,1.48,280.09,102,2.81
CCC(C)Oc1c(C)c(C)cc2nsnc12,1.54,236.1,86,3.49
COc1cc2nsnc2c2c1OCCC2,1.37,222.05,78,2.02
CCC(C)Nc1c2c(cc3nsnc13)N(CC)CCN2C,1.21,305.17,114,3.18
CCOc1cc2nsnc2c(C)c1OCC,1.46,238.08,86,2.8
CN(C)c1cc2nsnc2c2c1CCN2C,1.4,234.09,84,1.75
CCN(CC)c1cc(NC)c2nsnc2c1,1.25,236.11,86,2.58
Cc1cc(OC(C)C)c2nsnc2c1C,1.57,222.08,80,3.1
COC1COc2c(C)cc3nsnc3c21,1.58,222.05,78,2.08
CCOc1c2c(c(N(C)C(C)C)c3nsnc13)C1CCC2C1,1.41,317.16,118,4.3
COc1c2c(cc3nsnc13)OC(C)CC2,1.57,236.06,84,2.41
CCc1c2c(cc3nsnc13)N(C(C)C)CCN2CC,1.24,290.16,108,3.31
CCN1CCc2c1ccc1nsnc21,1.52,205.07,72,2.07
CCCCOc1ccc(OCC)c2nsnc12,1.62,252.09,92,3.27
CCC(C)c1cc(C)c(NC)c2nsnc12,1.45,235.11,86,3.55
COCCOc1cccc2nsnc12,1.63,210.05,74,1.72
CCOc1cc2c(c3nsnc13)NC(CC)C2,1.57,249.09,90,2.84
Cc1c(N(C)C)cc2nsnc2c1N(C)C,1.43,236.11,86,2.13
CCC(C)N(C)c1c2c(c(OC)c3nsnc13)C1CCC2CC1,1.48,331.17,124,4.69
COc1cc(N(C)C)c2nsnc2c1C,1.44,223.08,80,2.07
CCOc1cc(NC)c2nsnc2c1NC,1.4,238.09,86,2.17
CCN(C)c1c2c(c(N(C)CC)c3nsnc13)C1CCC2C1,1.28,316.17,118,3.97
CCc1c2c(c(N(C)CC)c3nsnc13)C1CCC2CC1,1.4,301.16,112,4.46
CCC1Cc2c(C(C)C)cc3nsnc3c2N1,1.5,247.11,90,3.56
CCCOc1c2c(cc3nsnc13)N(CC)CCN2C,1.34,292.14,108,2.76
CCCN1CN(C)c2cc3nsnc3c(OC(C)C)c21,1.19,292.14,108,3.1
CCOc1c(OC)cc(OC)c2nsnc12,1.61,240.06,86,2.11
CCCc1cccc2nsnc12,1.63,178.06,62,2.64
CNc1cc(OCCOC)cc2nsnc12,1.4,239.07,86,1.76
CC1COc2cc3nsnc3c(N(C)C)c2O1,1.47,251.07,90,1.92
CCCc1cc(C)c2nsnc2c1NC,1.53,221.1,80,2.99
CCC(C)N1CCN(C)c2c1c(C)c1nsnc1c2C,1.27,290.16,108,3.36
CCc1c2c(c(OC)c3nsnc13)OCCO2,1.5,252.06,90,2.03
CCc1cc(OC)c2nsnc2c1,1.54,194.05,68,2.26
CCOc1cc2c(c3nsnc13)OCCN2C,1.52,251.07,90,1.92
CCCCc1cc(OC)c2nsnc2c1,1.54,222.08,80,3.04
COc1c2c(cc3nsnc13)OCCN2C,1.47,237.06,84,1.53
CCNc1cc(N(C)C)c(C)c2nsnc12,1.39,236.11,86,2.5
CCOc1c2c(cc3nsnc13)N(C)CN2CC(C)C,1.08,292.14,108,2.96
CCc1ccc(N(CC)CC)c2nsnc12,1.41,235.11,86,3.1
CCCN1CC(C)Cc2cc3nsnc3cc21,1.36,247.11,90,3.1
CNc1c2c(cc3nsnc13)N(C)C(OC)N2C,1.13,265.1,96,1.55
CCCN(C)c1c(C)cc(C)c2nsnc12,1.51,235.11,86,3.15
CCCOc1c(C)cc(OC)c2nsnc12,1.57,238.08,86,2.8
CCCOCCOc1c2c(c(C)c3nsnc13)C1CCC2CC1,1.49,332.16,124,4.56
CCCN(C)c1ccc(OC)c2nsnc12,1.51,237.09,86,2.55
CCc1c2c(c(C)c3nsnc13)N(CC)CCN2C,1.36,276.14,102,2.84
CCc1c(OC)ccc2nsnc12,1.58,194.05,68,2.26
CCc1cc2nsnc2c2c1OCC(C)O2,1.51,236.06,84,2.41
c1cc2nsnc2c2c1CCCO2,1.56,192.04,66,2.02
Cc1c2c(c(C)c3nsnc13)OC(C(C)C)CO2,1.4,264.09,96,3.1
CC(C)COc1c2c(cc3nsnc13)OCCO2,1.56,266.07,96,2.5
CCC1COc2cc3nsnc3cc21,1.53,206.05,72,2.58
CC1Cc2c3c(c4nsnc4c2C1)OCCC3,1.46,246.08,88,2.75
CCCc1cc(OC(C)C)c2nsnc2c1,1.62,236.1,86,3.43
CNc1c2c(c(N(C)C(C)C)c3nsnc13)C1CCC2CC1,1.39,316.17,118,4.33
CNc1c(CCOC)ccc2nsnc12,1.52,223.08,80,1.92
CCCNc1cc2c(c3nsnc13)OCC2,1.51,235.08,84,2.45
CCCC1Oc2cc3nsnc3cc2OC1C(C)CC,1.52,292.12,108,4.05
CC(C)c1c2c(cc3nsnc13)N(C)CCN2C(C)C,1.2,290.16,108,3.48
CCCCOc1c2c(cc3nsnc13)C1CCC2CC1,1.52,288.13,106,4.63
CCC1Cc2c(cc3nsnc3c2C)N1C,1.2,233.1,84,2.77
CCCN(c1ccc2nsnc2c1)C(C)C,1.43,235.11,86,3.32
CCC(C)c1cc(OC)c(C)c2nsnc12,1.48,236.1,86,3.52
CCOc1c2c(cc3nsnc13)OC(CC)C2,1.5,250.08,90,2.8
Cc1cc(OCC(C)C)c2nsnc2c1C,1.58,236.1,86,3.34
CCCN1CCN(C)c2c1ccc1nsnc21,1.41,248.11,90,2.36
CCN1CCOc2cc3nsnc3cc21,1.34,221.06,78,1.91
CCC1Cc2c(ccc3nsnc23)O1,1.6,206.05,72,2.4
CCC/C([O-])=[NH+]\c1c2c(cc3nsnc13)C1CCC2CC1,1.67,301.12,110,1.72
C/C([O-])=[NH+]\c1c2c(cc3nsnc13)C1CCC2C1,1.63,259.08,92,0.55
[O-]C1=[NH+]c2c(ccc3nsnc23)CC1,1.76,205.03,70,-0.89
CCCCC1COc2c(ccc3nsnc23)O1,1.58,250.08,90,3.02
CC1Oc2ccc3nsnc3c2C1C,1.59,206.05,72,2.58
CCCc1c2c(cc3nsnc13)C1CCC2CC1,1.45,258.12,94,4.4
CC(C)CC1COc2c(ccc3nsnc23)O1,1.58,250.08,90,2.88
CC1(C)COc2ccc3nsnc3c21,1.59,206.05,72,2.36
CCCC1COc2cc3nsnc3cc2O1,1.56,236.06,84,2.63
CCC(C)c1c2c(cc3nsnc13)OCCO2,1.46,250.08,90,2.98
Cc1cccc2nsnc12,1.64,150.03,50,2.0
CCCCc1ccc2nsnc2c1,1.63,192.07,68,3.03
CC/C([O-])=[NH+]\c1c2c(cc3nsnc13)C1CCC2C1,1.62,273.09,98,0.94
CCN1CCOc2ccc3nsnc3c21,1.5,221.06,78,1.91
CC1COc2c1ccc1nsnc21,1.64,192.04,66,2.19
CC1COc2cc3nsnc3cc21,1.53,192.04,66,2.19
CCC1COc2cc3nsnc3cc2O1,1.56,222.05,78,2.24
CCC(C)Oc1ccc2nsnc2c1,1.56,208.07,74,2.87
[O-]C1=[NH+]c2c(ccc3nsnc23)CCC1,1.74,219.05,76,-0.5
CCc1c2c(cc3nsnc13)OCCO2,1.49,222.05,78,2.02
CCC1Cc2ccc3nsnc3c2[NH+]=C1[O-],1.75,233.06,82,-0.26
CC1COc2ccc3nsnc3c2C1,1.54,206.05,72,2.26
CCCC/C([O-])=[NH+]\c1cccc2nsnc12,1.81,235.08,84,0.35
CCCCNc1cccc2nsnc12,1.51,207.08,74,2.9
CCC(C)N1CCOc2c1ccc1nsnc21,1.44,249.09,90,2.69
CC/C([O-])=[NH+]\c1cccc2nsnc12,1.8,207.05,72,-0.43
c1c2c(cc3nsnc13)OCC2,1.52,178.02,60,1.63
CNc1cccc2nsnc12,1.51,165.04,56,1.73
c1cc2nsnc2c2c1OCCO2,1.59,194.01,66,1.46
CCC1Cc2cc3nsnc3cc2O1,1.51,206.05,72,2.4
Cc1c2c(cc3nsnc13)C1CCC2C1,1.42,216.07,76,3.36
CC(C)N1CCOc2cc3nsnc3cc21,1.36,235.08,84,2.3
c1cc2nsnc2c2c1CCN2,1.55,177.04,60,1.66
CC(C)N1CCOc2c1ccc1nsnc21,1.46,235.08,84,2.3
c1cc2nsnc2c2c1OCCCC2,1.55,206.05,72,2.41
CC(C)Cc1c2c(cc3nsnc13)C1CCC2CC1,1.45,272.13,100,4.64
CC(C)COc1cccc2nsnc12,1.59,208.07,74,2.73
CC(C)C1COc2c(ccc3nsnc23)O1,1.58,236.06,84,2.49
CCOc1c2c(cc3nsnc13)C1CCC2CC1,1.43,260.1,94,3.84
CC(C)CNc1c2c(cc3nsnc13)C1CCC2CC1,1.42,287.15,106,4.51
CC1CCOc2ccc3nsnc3c21,1.53,206.05,72,2.58
CC(C)/C([O-])=[NH+]\c1c2c(cc3nsnc13)OCCO2,1.7,279.07,100,-0.41
CC1CCc2cc3nsnc3cc21,1.55,190.06,66,2.74
COc1cccc2nsnc12,1.61,166.02,56,1.7
CCc1ccc2nsnc2c1,1.63,164.04,56,2.25
CC(C)Nc1c2c(cc3nsnc13)C1CCC2C1,1.37,259.11,94,3.88
CCC(C)Oc1c2c(cc3nsnc13)C1CCC2C1,1.47,274.11,100,4.23
CCC1CNc2c1ccc1nsnc21,1.54,205.07,72,2.61
CCOc1cccc2nsnc12,1.61,180.04,62,2.09
CC(C)/C([O-])=[NH+]\c1c2c(cc3nsnc13)C1CCC2C1,1.63,287.11,104,1.18
c1cc2nsnc2c2c1CCCCO2,1.63,206.05,72,2.41
CC1COc2ccc3nsnc3c2O1,1.58,208.03,72,1.85
CCC(C)/C([O-])=[NH+]\c1cccc2nsnc12,1.84,235.08,84,0.21
C1COc2c(c3c(c4nsnc24)OCCO3)O1,1.46,252.02,88,1.23
c1cc2nsnc2c2c1CCO2,1.64,178.02,60,1.63
CCCCN1CCOc2ccc3nsnc3c21,1.47,249.09,90,2.69
CC1CNc2c(ccc3nsnc23)C1,1.48,205.07,72,2.3
CCc1c2c(cc3nsnc13)C1CCC2CC1,1.4,244.1,88,4.01
c1cc2nsnc2c2c1CCCC2,1.55,190.06,66,2.57
c1c2c(cc3nsnc13)CCCC2,1.6,190.06,66,2.57
CC(C)Cc1c2c(cc3nsnc13)OCCO2,1.48,250.08,90,2.66
CCCC1COc2c(ccc3nsnc23)O1,1.58,236.06,84,2.63
CC(C)/C([O-])=[NH+]\c1c2c(cc3nsnc13)C1CCC2CC1,1.65,301.12,110,1.57
CC1CCC([O-])=[NH+]c2c1ccc1nsnc21,1.74,233.06,82,0.06
CCC(C)C1COc2cc3nsnc3cc2O1,1.55,250.08,90,2.88
CCC1CC([O-])=[NH+]c2c1ccc1nsnc21,1.76,233.06,82,0.06
CC1CCc2c1ccc1nsnc21,1.6,190.06,66,2.74
CN1CCOc2cc3nsnc3cc21,1.37,207.05,72,1.52
CCCCNc1c2c(cc3nsnc13)C1CCC2CC1,1.42,287.15,106,4.66
CC1COc2cc3nsnc3cc2C1,1.58,206.05,72,2.26
CC(C)COc1ccc2nsnc2c1,1.65,208.07,74,2.73
CC(C)CC1COc2cc3nsnc3cc2O1,1.55,250.08,90,2.88
CCC(C)Oc1c2c(cc3nsnc13)OCCO2,1.53,266.07,96,2.64
CCCC/C([O-])=[NH+]\c1c2c(cc3nsnc13)OCCO2,1.69,293.08,106,0.12
CC1Cc2cc3nsnc3cc2O1,1.51,192.04,66,2.01
CC(C)Oc1cccc2nsnc12,1.69,194.05,68,2.48
CC1(C)CNc2c1ccc1nsnc21,1.55,205.07,72,2.39
CC1CCc2c(ccc3nsnc23)O1,1.54,206.05,72,2.4
CCC1COc2c1ccc1nsnc21,1.64,206.05,72,2.58
CCOc1c2c(cc3nsnc13)C1CCC2C1,1.49,246.08,88,3.45
CC(C)C/C([O-])=[NH+]\c1c2c(cc3nsnc13)OCCO2,1.69,293.08,106,-0.02
CCC(C)c1c2c(cc3nsnc13)C1CCC2CC1,1.42,272.13,100,4.96
CC(C)Oc1c2c(cc3nsnc13)C1CCC2CC1,1.51,274.11,100,4.23
CC(C)c1c2c(cc3nsnc13)C1CCC2CC1,1.43,258.12,94,4.57
C/C([O-])=[NH+]\c1c2c(cc3nsnc13)C1CCC2CC1,1.66,273.09,98,0.94
c1cc2nsnc2c2c1CCCCN2,1.56,205.07,72,2.44
CC1CCc2ccc3nsnc3c2O1,1.54,206.05,72,2.4
CCCC/C([O-])=[NH+]\c1c2c(cc3nsnc13)C1CCC2C1,1.62,301.12,110,1.72
CN1CCOc2ccc3nsnc3c21,1.51,207.05,72,1.52
CC(C)C/C([O-])=[NH+]\c1cccc2nsnc12,1.82,235.08,84,0.21
CCC(C)C1COc2ccc3nsnc3c2O1,1.58,250.08,90,2.88
C1COc2c3c(c4nsnc4c2N1)OCCO3,1.41,251.04,88,1.27
CCC1Cc2ccc3nsnc3c2O1,1.63,206.05,72,2.4
CCCCC1COc2ccc3nsnc3c2O1,1.58,250.08,90,3.02
CCC(C)Nc1c2c(cc3nsnc13)C1CCC2CC1,1.41,287.15,106,4.66
CCCCc1c2c(cc3nsnc13)C1CCC2CC1,1.4,272.13,100,4.79
CC1CC([O-])=[NH+]c2c(ccc3nsnc23)C1,1.74,233.06,82,-0.26
COc1ccc2nsnc2c1,1.66,166.02,56,1.7
c1ccc2nsnc2c1,1.71,136.01,44,1.69
C/C([O-])=[NH+]\c1cccc2nsnc12,1.82,193.03,66,-0.82
CCOC1N(C)c2cc3nsnc3c(CC)c2N1C(C)C,1.08,306.15,114,3.24
CCCN1c2cc3nsnc3cc2N(C(C)CC)C1OCC,1.11,320.17,120,3.85
CCN1CN(CC(C)C)c2cc3nsnc3c(N(C)C)c21,1.06,305.17,114,3.02
CCCN1c2c(cc3nsnc3c2OC)N(C)C1OC,1.18,294.12,108,2.3
CCc1c2c(cc3nsnc13)N(CCOC)CN2CC,1.03,292.14,108,2.5
CCC(=O)Oc1c2c(cc3nsnc13)N(C)CN2C,1.29,278.08,100,1.85
CCN1CN(C(C)C)c2cc3nsnc3c(OCC(C)C)c21,1.09,320.17,120,3.74
CCN1CN(C)c2c1c(OC(C)=O)c1nsnc1c2OC,1.27,308.09,112,1.86
CCCN(C)c1c2c(cc3nsnc13)N(CC)CN2C,1.07,291.15,108,2.77
CCCN1CN(C(C)C)c2c1c(C)c1nsnc1c2OC,1.15,306.15,114,3.41
CC/C([O-])=[NH+]\c1c2c(cc3nsnc13)N(C)CN2CC,1.29,291.12,106,-0.19
CCCOc1c2c(cc3nsnc13)N(C(C)C)CN2CC,1.09,306.15,114,3.49
CCCCOc1c2c(c(C)c3nsnc13)N(C)CN2C,1.19,292.14,108,3.02
CCC(C)OCCN1CN(C)c2c1cc1nsnc1c2C,1.07,306.15,114,3.03
CCOc1c2c(cc3nsnc13)N(C)CN2C(C)CC,1.14,292.14,108,3.1
CCCN(CC)c1c2c(cc3nsnc13)N(C)CN2C(C)C,1.19,319.18,120,3.55
CCN1CN(C)c2cc3nsnc3c(OC)c21,1.21,250.09,90,1.93
CCCOc1c2c(c(OC)c3nsnc13)N(C)CN2C,1.25,294.12,108,2.33
CC(C)N1CN(C(C)C)c2cc3nsnc3cc21,0.89,262.13,96,3.09
CCN1CN(CC(C)C)c2c1cc1nsnc1c2C(C)C,1.17,304.17,114,4.07
CCCC/C([O-])=[NH+]\c1c2c(cc3nsnc13)N(C)CN2C,1.29,305.13,112,0.2
CCCc1c2c(cc3nsnc13)N(C(C)CC)CN2CC,1.07,304.17,114,4.05
CCCc1c2c(c(OCC)c3nsnc13)N(C)CN2C,1.17,292.14,108,2.89
CCN1CN(C)c2c1c(OC(C)C)c1nsnc1c2C,1.18,292.14,108,3.02
COc1c2c(cc3nsnc13)N(CC(C)C)CN2C(C)C,1.11,306.15,114,3.35
CCC(C)N1CN(C)c2cc3nsnc3c(OCC(C)C)c21,1.13,320.17,120,3.74
CCN1CN(CC)c2c1cc1nsnc1c2N(C)CC(C)C,1.07,319.18,120,3.41
CCc1c2c(c(C)c3nsnc13)N(C(C)CC)CN2C,1.06,290.16,108,3.57
CCCN1CN(C)c2c1cc1nsnc1c2C(C)C,1.15,276.14,102,3.44
CCCOC1N(CC)c2cc3nsnc3cc2N1CC(C)C,1.1,320.17,120,3.7
CCCCOC1N(CC)c2cc3nsnc3cc2N1CC,1.12,306.15,114,3.46
CCCOCCN1c2cc3nsnc3cc2N(C)C1OC,1.16,308.13,114,2.3
C/C([O-])=[N+](/C)c1c2c(cc3nsnc13)N(CC(C)C)CN2C,1.19,319.15,118,1.61
C/C([O-])=[NH+]\c1c2c(c(C)c3nsnc13)N(C)CN2CC(C)C,1.32,319.15,118,0.36
CCN1CN(C)c2c1c(OC)c1nsnc1c2OC(C)=O,1.34,308.09,112,1.86
CCc1c2c(c(OC(C)CC)c3nsnc13)N(CC)CN2C,1.11,320.17,120,3.66
CCN1CN(C(C)C)c2cc3nsnc3c(OC)c21,1.16,278.12,102,2.71
CCCCOc1c2c(cc3nsnc13)N(CCCC)CN2C,1.15,320.17,120,3.88
CCCN1c2cc3nsnc3cc2N(C)C1OC(C)CC,1.11,306.15,114,3.46
CCN1CN(CC(C)C)c2cc3nsnc3c(CC(C)C)c21,1.11,318.19,120,4.15
CC/C([O-])=[N+](/C)c1c2c(cc3nsnc13)N(C(C)C)CN2C,1.23,319.15,118,1.76
CCCOc1c2c(c(C)c3nsnc13)N(C)CN2CC(C)C,1.22,320.17,120,3.66
Cc1c2c(cc3nsnc13)N(CCOCC(C)C)CN2C,1.13,306.15,114,2.89
CCOc1c2c(c(C(C)C)c3nsnc13)N(C)CN2C,1.16,292.14,108,3.06
CCOC1N(C)c2cc3nsnc3c(OC)c2N1C,1.19,280.1,102,1.91
CCCCOC1N(C)c2cc3nsnc3cc2N1CC,1.11,292.14,108,3.07
CCCN1CN(C)c2c1cc1nsnc1c2/[N+](C)=C(/[O-])CC,1.22,319.15,118,1.76
CCCN1c2cc3nsnc3cc2N(CCC)C1OCC,1.11,306.15,114,3.46
CCCCc1c2c(cc3nsnc13)N(C)CN2C(C)CC,1.07,304.17,114,4.05
CCCc1c2c(c(C)c3nsnc13)N(C)CN2C(C)C,1.07,290.16,108,3.57
CCCN1CN(CCOCC)c2cc3nsnc3cc21,1.08,292.14,108,2.72
CCCC(=O)Oc1c2c(cc3nsnc13)N(C)CN2CC,1.22,306.12,112,2.63
COC1N(C)c2cc3nsnc3cc2N1CC(C)C,1.11,278.12,102,2.53
CC(C)COC1N(C)c2cc3nsnc3cc2N1C,1.15,278.12,102,2.53
COc1c2c(c(C)c3nsnc13)N(C(C)C)CN2C,1.15,278.12,102,2.63
COCCN1CN(C)c2c1cc1nsnc1c2OC(C)C,1.18,308.13,114,2.34
CCN1c2cc3nsnc3c(C)c2N(CC)C1OCC(C)C,1.18,320.17,120,3.62
COCC/C([O-])=[NH+]\c1c2c(cc3nsnc13)N(C)CN2C,1.3,307.11,112,-0.96
COCCN1CN(C)c2cc3nsnc3c(OC(C)C)c21,1.15,308.13,114,2.34
CCN1c2cc3nsnc3cc2N(CC)C1OC(C)C,1.09,292.14,108,3.07
CC/C([O-])=[NH+]\c1c2c(c(C(C)C)c3nsnc13)N(C)CN2C,1.25,319.15,118,0.54
CCCN1CN(C)c2cc3nsnc3c(/[N+](C)=C(\C)[O-])c21,1.24,305.13,112,1.37
CCCCc1c2c(c(/[NH+]=C(\C)[O-])c3nsnc13)N(C)CN2C,1.28,319.15,118,0.37
COCCN1CN(C)c2cc3nsnc3c(C)c21,1.11,264.1,96,1.86
CCCCOc1c2c(cc3nsnc13)N(C)CN2CCCC,1.13,320.17,120,3.88
CCCN1CN(C)c2cc3nsnc3c(OCC)c21,1.16,278.12,102,2.71
CCC(C)Oc1c2c(cc3nsnc13)N(C(C)CC)CN2C,1.1,320.17,120,3.88
CCOc1c2c(c(CC(C)C)c3nsnc13)N(C)CN2C,1.17,306.15,114,3.13
CCN1c2cc3nsnc3c(C)c2N(C(C)C)C1OC,1.22,292.14,108,2.98
CCC(=O)Oc1c2c(cc3nsnc13)N(CC)CN2CC,1.29,306.12,112,2.63
CCOc1c2c(cc3nsnc13)N(C(C)CC)CN2C,1.15,292.14,108,3.1
CCCN(CC)c1c2c(cc3nsnc13)N(C)CN2CC,1.11,305.17,114,3.16
CCCN1c2cc3nsnc3c(OC)c2N(C)C1OCC,1.17,308.13,114,2.69
CCC(C)c1c2c(c(C)c3nsnc13)N(C(C)C)CN2C,1.19,304.17,114,4.14
CCN1CN(C)c2c1cc1nsnc1c2/[NH+]=C(/[O-])C(C)C,1.2,305.13,112,0.05
CCN1CN(C(C)C)c2cc3nsnc3c(N(C)C(C)C)c21,1.06,319.18,120,3.55
CCCN1CN(C)c2c1c(CC(C)C)c1nsnc1c2OC,1.12,320.17,120,3.52
CCCN1CN(C)c2c1cc1nsnc1c2CC(C)C,1.14,290.16,108,3.51
CCN(CC)c1c2c(cc3nsnc13)N(C)CN2C(C)C,1.09,305.17,114,3.16
CCCCOc1c2c(cc3nsnc13)N(CC(C)C)CN2C,1.16,320.17,120,3.74
CCc1c2c(c(OC)c3nsnc13)N(C(C)C)CN2C,1.16,292.14,108,2.88
CCCN1c2cc3nsnc3cc2N(CCOC)C1OC,1.13,308.13,114,2.3
CCC(C)N1CN(CC)c2cc3nsnc3c(OC(C)C)c21,1.13,320.17,120,3.88
CCOCCN1CN(C)c2c1cc1nsnc1c2CC,1.16,292.14,108,2.5
CCN(C)CCN1CN(C)c2cc3nsnc3c(C)c21,1.18,291.15,108,2.17
CCCOc1c2c(cc3nsnc13)N(C)C(OC)N2C,1.19,294.12,108,2.3
CCCOC1N(CCC)c2cc3nsnc3cc2N1C(C)C,1.11,320.17,120,3.85
CCOc1c2c(c(OCC)c3nsnc13)N(CC)CN2C,1.25,308.13,114,2.72
CC/[N+](=C(/C)[O-])c1c2c(cc3nsnc13)N(C)CN2C(C)C,1.25,319.15,118,1.76
CCc1c2c(c(OC)c3nsnc13)N(C(C)CC)CN2C,1.09,306.15,114,3.27
CCCN1c2cc3nsnc3cc2N(CC)C1OC(C)C,1.09,306.15,114,3.46
CCCN1CN(C)c2c1cc1nsnc1c2OC(C)C,1.15,292.14,108,3.1
CCCN1CN(C)c2cc3nsnc3c(/[NH+]=C(/[O-])CC)c21,1.23,305.13,112,0.2
CCCCOC1N(C)c2cc3nsnc3c(C)c2N1CC,1.25,306.15,114,3.38
COc1c2c(cc3nsnc13)N(C)CN2CCN(C)C,1.14,293.13,108,1.48
